出走馬T.競走コード,馬番,枠番,異常区分コード,単勝人気,入線順位,確定着順,馬券評価順位,予想タイム指数,予想タイム指数順位,得点,デフォルト得点,デフォルト得点順位,得点V1,得点V1順位,得点V2,得点V2順位,得点V3,得点V3順位,得点V1順位逆数,得点V2順位逆数,得点V3順位逆数,三連単用得点,三連単用馬券評価順位,血統距離評価,血統トラック評価,血統成長力評価,血統総合評価,血統距離評価B,血統トラック評価B,血統成長力評価B,血統総合評価B,予想タイム偏差値,過去5走最高タイム指数,前走レースレベル,前走レースレベル順位,先行指数,先行率,先行指数順位,予想展開,予想タイム指数回帰推定値,予想タイム指数回帰推定値順位,血統登録番号,性別コード,近走競走コード1,近走馬番1,近走競走コード2,近走馬番2,近走競走コード3,近走馬番3,近走競走コード4,近走馬番4,近走競走コード5,近走馬番5,次走競走コード,次走馬番,休養週数,休養後出走回数,単勝配当,複勝配当,単勝オッズ,単勝支持率,複勝オッズ1,複勝オッズ2,単勝推定オッズ,複勝推定オッズ,連対推定オッズ,予想オッズ,予想人気,クラス変動,騎手コード,騎手所属場コード,見習区分,騎手評価,調教師評価,枠順評価,脚質評価,キャリア,馬齢,調教師コード,負担重量,馬体重,馬体重増減,距離増減,前走着順,前走人気,前走着差,前走トラック種別コード,前走馬体重,前走頭数,タイム指数上昇係数,タイム指数回帰推定値,タイム指数回帰標準偏差,斤量比,前走休養週数,騎手ランキング,調教師ランキング,馬単合成オッズ,過程値a,過程値b,調節値,勝率,充足率,父繁殖登録番号,母繁殖登録番号,父繁殖馬生年,母繁殖馬生年,父出産年齢,母出産年齢,母血統登録番号,母平地収得賞金累計,母評価,馬番判定,過程値,レースT.競走コード,距離,トラック種別コード,主催者コード,競走番号,場コード,グレードコード,競走種別コード,競走条件コード,競走条件名称,トラックコード,頭数,天候コード,馬場状態コード,予想勝ち指数,初出走頭数,人気馬得点1,人気馬支持率1,人気馬馬券評価順位1,人気馬得点2,人気馬支持率2,人気馬馬券評価順位2,人気馬得点3,人気馬支持率3,人気馬馬券評価順位3,予想決着指数,投票フラグ,波乱度,タイム指数誤差,登録頭数,回次,日次,タイム指数FB補正量,タイム指数FB頭数,一番人気予想展開,平均得点,得点標準偏差,平均予想タイム指数,予想タイム標準偏差,レースレベル,予想タイム指数平均値a,予想タイム指数平均値b,最低勝率,過程値合計,過程値b合計,勝率標準偏差,レース充足率
22201050601,15,8,0,4,1,1,4,62.90718027,5,52,51,2,8,3,7,4,50,2,14,13,15,59,2,54,56,55,55,38,43,49,40,57,66,58,1,84.82381,0.125,3,1,66,6,2019103610,2,22112120601,2,22110100502,1,22107310401,3,22107030305,5,0,0,22203130607,6,3,1,680,210,6.8,0.1176471,1.8,2.5,6.7,2,2.9,11.5,6,0,1192,0,3,57,61,59,10,4,3,1020,510,456,4,0,3,7,2,1,452,16,5.030012,65.76156471,126.6912,11.18421053,8,83,140,6,9,9,29,9,100,,,,,,,,,,1,93943,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,10,5,0,12,2,2,14,52.32802749,14,34,45,13,-1,13,-1,15,44,13,4,2,3,37,14,50,60,53,58,47,54,55,52,36,50,43,16,69.0919,0.0625,6,3,44,15,2019100855,2,22109190601,6,22108290406,2,22108290406,2,0,0,0,0,22201230601,15,15,0,0,1600,57.2,0.01398601,15.3,23.4,81.5,13.9,28.1,38,15,0,1179,0,0,50,48,51,73,2,3,1088,540,458,2,200,0,0,9999,0,454,17,-5.870674,44.35512775,0,11.79039301,2,12,62,86.6,0,1,29,1,50,,,,,,,,,,2,2303.7,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,4,2,0,1,3,3,2,66.59721549,1,58,50,3,17,1,15,1,46,7,16,16,8,52,5,51,63,49,60,57,78,60,76,64,67,58,1,44.10024,0.25,10,3,72,3,2019103542,1,22112110601,1,22111210501,15,22110310501,15,22110170501,9,22110020606,11,22201300501,10,3,5,0,170,3.7,0.2162162,1.4,1.8,3.6,1.6,2,4.9,1,0,1009,0,0,56,36,39,73,5,3,1089,560,518,-2,0,5,3,9,1,520,16,3.583865,72.5984036,222.0892,10.81081081,2,54,80,3.6,19,19,29,19,100,,,,,,,,,,2,201890.1,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,2,1,0,9,4,4,10,62.87388903,6,41,46,11,-1,11,4,7,46,8,4,8,8,45,8,63,64,64,64,54,60,59,59,57,64,58,1,33.7937,0.625,13,4,64,8,2019104288,2,22112120601,16,22109250602,1,22108290405,16,0,0,0,0,22201150601,10,3,1,0,0,16,0.05,3.5,5.2,17,3.4,6.2,18.3,8,0,1119,0,0,43,36,39,10,3,3,1132,540,486,6,0,5,15,4,1,480,16,10.23787,63.94759517,133.9466,11.11111111,10,118,114,16.2,9,9,29,9,75,,,,,,,,,,2,93230.5,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,16,8,0,5,5,5,9,59.8260075,10,44,49,7,7,5,4,8,44,12,11,8,3,41,12,57,54,50,53,49,47,47,45,51,58,44,15,66.50019,0.25,8,3,62,9,2019101003,1,22112180603,4,22111210501,13,22110310405,3,0,0,0,0,22201220601,10,2,3,0,0,10,0.08,2.5,3.6,10.5,2.7,4.3,5.8,2,0,5212,0,0,58,37,59,73,3,3,1109,560,478,-2,0,5,2,15,1,480,16,2.297894,61.84749647,114.3043,11.71548117,3,13,139,9.4,4,4,29,4,75,,,,,,,,,,2,43309.6,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,8,4,0,3,6,6,6,61.31737114,7,46,49,5,3,8,-1,14,45,10,8,2,6,44,10,65,64,59,64,53,56,55,55,54,63,51,10,87.5,0.125,2,1,87,1,2019101217,1,22112120603,3,22109120603,9,0,0,0,0,0,0,22203130602,15,3,1,0,0,6.3,0.1269841,1.6,2.1,4.8,1.7,2.3,6.7,3,0,1091,0,0,60,58,51,10,2,3,1051,560,470,-4,0,2,6,2,1,474,16,23.38643,86.6022872,0,11.91489362,12,34,22,4.8,6,6,29,6,50,,,,,,,,,,2,64192.6,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,9,5,0,8,7,7,5,65.41231086,2,50,48,8,6,7,1,11,47,5,10,6,11,51,6,16,31,27,23,30,40,36,35,62,58,52,7,93.33334,0.4375,1,1,65,7,2019101408,1,22106060506,3,0,0,0,0,0,0,0,0,22202050502,15,30,0,0,0,14.3,0.05594406,4.7,7.1,15.2,3.8,6.4,35.3,14,0,422,0,0,46,36,51,10,1,3,423,560,536,28,-200,4,11,4,0,508,15,0,0,0,10.44776119,0,32,147,13.4,15,15,29,15,25,,,,,,,,,,1,160394.2,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,11,6,0,2,8,8,1,64.8386947,3,60,53,1,9,2,9,2,53,1,15,15,16,62,1,48,55,52,52,45,45,50,43,60,63,58,1,72.70506,0.4375,5,2,84,2,2019102271,1,22110230502,5,22109250602,16,22106130105,11,0,0,0,0,22204160603,1,10,0,0,0,6.2,0.1290323,2.2,3.1,7.4,2.4,3.6,16.2,7,0,5386,0,0,55,43,51,90,3,3,1064,560,472,0,-200,7,9,10,1,472,15,17.9464,83.51004154,0,11.86440678,3,8,67,6.6,13,13,29,13,75,,,,,,,,,,1,142780.2,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,7,4,0,6,9,9,7,60.85435132,8,45,48,9,3,9,0,12,45,11,8,4,6,44,10,54,56,55,55,30,40,36,35,53,61,51,10,66.65324,0.25,7,3,70,4,2019104028,2,22112120603,2,22111200504,9,0,0,0,0,0,0,22207090303,3,3,2,0,0,10.7,0.07476635,2.5,3.7,11.3,2.7,4.5,8.7,5,0,1085,0,0,42,57,51,73,2,3,1074,540,462,-2,0,4,4,4,1,464,16,8.407223,70.50735944,0,11.68831169,2,119,123,10.3,5,5,29,5,50,,,,,,,,,,1,57043,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,6,3,0,7,10,10,3,64.20443415,4,54,50,4,7,4,7,3,48,4,11,13,13,56,3,52,63,50,60,48,57,48,54,59,65,50,13,66.12804,0.625,9,3,48,14,2019105170,1,22110170501,11,22109260604,14,0,0,0,0,0,0,22203120602,11,11,0,0,0,12.6,0.06349206,3.4,4.9,9.9,2.6,4.1,7.5,4,0,1170,0,0,44,35,51,73,2,3,1145,560,478,10,-200,7,3,20,1,468,14,-10.55833,47.53251261,0,11.71548117,2,5,66,9.9,12,12,29,12,50,,,,,,,,,,2,125037.6,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
