race_id,race_date,course,distance,surface,condition,horse_no,horse_name,age,sex,weight,weight_diff,jockey,trainer,odds_win,popularity,finish_pos,time_sec,prize
1,2023-12-22,札幌,2200,芝,重,1,馬0001_01,4,牡,512,-2,騎手28,調教師33,38.3,6,6,193.3,0
1,2023-12-22,札幌,2200,芝,重,2,馬0001_02,6,牡,456,-2,騎手21,調教師31,5.5,4,4,192.8,450
1,2023-12-22,札幌,2200,芝,重,3,馬0001_03,6,牝,465,-8,騎手03,調教師14,9.6,5,5,193.6,300
1,2023-12-22,札幌,2200,芝,重,4,馬0001_04,3,牡,480,9,騎手22,調教師11,53.4,8,9,194.6,0
1,2023-12-22,札幌,2200,芝,重,5,馬0001_05,6,牡,513,5,騎手08,調教師08,2.6,1,3,192.4,750
1,2023-12-22,札幌,2200,芝,重,6,馬0001_06,4,牝,464,-5,騎手20,調教師30,54.0,9,8,193.9,0
1,2023-12-22,札幌,2200,芝,重,7,馬0001_07,5,牡,443,-6,騎手25,調教師17,3.9,2,1,191.9,3000
1,2023-12-22,札幌,2200,芝,重,8,馬0001_08,5,牡,552,2,騎手14,調教師19,47.1,7,7,194.0,0
1,2023-12-22,札幌,2200,芝,重,9,馬0001_09,6,牡,469,-3,騎手01,調教師50,4.4,3,2,192.1,1200
2,2019-08-08,札幌,2000,芝,良,1,馬0002_01,2,牡,482,3,騎手23,調教師37,39.5,11,4,181.2,450
2,2019-08-08,札幌,2000,芝,良,2,馬0002_02,3,牝,449,-5,騎手07,調教師41,16.9,6,3,180.6,750
2,2019-08-08,札幌,2000,芝,良,3,馬0002_03,5,牝,446,0,騎手04,調教師18,25.4,7,9,182.3,0
2,2019-08-08,札幌,2000,芝,良,4,馬0002_04,7,牡,493,8,騎手25,調教師10,8.5,5,8,182.2,0
2,2019-08-08,札幌,2000,芝,良,5,馬0002_05,3,騸,474,1,騎手01,調教師40,6.2,3,7,181.8,0
2,2019-08-08,札幌,2000,芝,良,6,馬0002_06,7,牡,485,15,騎手27,調教師06,2.9,1,1,180.0,3000
2,2019-08-08,札幌,2000,芝,良,7,馬0002_07,2,騸,472,-8,騎手17,調教師03,29.4,10,10,182.3,0
2,2019-08-08,札幌,2000,芝,良,8,馬0002_08,7,牡,461,-3,騎手06,調教師47,72.5,14,11,183.1,0
2,2019-08-08,札幌,2000,芝,良,9,馬0002_09,2,牝,453,-3,騎手26,調教師02,79.7,15,16,184.5,0
2,2019-08-08,札幌,2000,芝,良,10,馬0002_10,2,騸,443,12,騎手24,調教師44,26.7,9,6,181.5,0
2,2019-08-08,札幌,2000,芝,良,11,馬0002_11,5,牝,525,17,騎手15,調教師30,145.2,16,15,184.1,0
2,2019-08-08,札幌,2000,芝,良,12,馬0002_12,4,牡,523,-5,騎手10,調教師36,26.1,8,13,183.3,0
2,2019-08-08,札幌,2000,芝,良,13,馬0002_13,5,騸,490,-2,騎手21,調教師01,7.9,4,5,180.7,300
2,2019-08-08,札幌,2000,芝,良,14,馬0002_14,4,牡,473,1,騎手22,調教師14,62.8,13,12,183.6,0
2,2019-08-08,札幌,2000,芝,良,15,馬0002_15,2,牝,505,0,騎手03,調教師09,4.8,2,2,180.2,1200
2,2019-08-08,札幌,2000,芝,良,16,馬0002_16,7,騸,461,1,騎手29,調教師08,61.8,12,14,184.1,0
3,2021-01-09,中山,1000,芝,不良,1,馬0003_01,3,牝,463,1,騎手13,調教師06,7.7,2,4,121.2,450
3,2021-01-09,中山,1000,芝,不良,2,馬0003_02,4,牝,481,2,騎手20,調教師35,10.9,4,8,122.2,0
3,2021-01-09,中山,1000,芝,不良,3,馬0003_03,4,騸,494,-9,騎手06,調教師48,1.3,1,1,119.8,3000
3,2021-01-09,中山,1000,芝,不良,4,馬0003_04,6,牝,500,6,騎手07,調教師46,20.2,5,3,120.8,750
3,2021-01-09,中山,1000,芝,不良,5,馬0003_05,4,牡,458,0,騎手29,調教師32,126.2,10,12,123.2,0
3,2021-01-09,中山,1000,芝,不良,6,馬0003_06,2,牡,476,8,騎手22,調教師43,142.2,11,11,123.2,0
3,2021-01-09,中山,1000,芝,不良,7,馬0003_07,7,牝,501,0,騎手27,調教師47,10.0,3,2,120.2,1200
3,2021-01-09,中山,1000,芝,不良,8,馬0003_08,7,牡,538,-1,騎手11,調教師25,307.9,12,10,122.3,0
3,2021-01-09,中山,1000,芝,不良,9,馬0003_09,7,牝,482,7,騎手18,調教師04,999.9,14,14,123.7,0
3,2021-01-09,中山,1000,芝,不良,10,馬0003_10,7,牡,490,3,騎手10,調教師27,76.3,9,5,120.9,300
3,2021-01-09,中山,1000,芝,不良,11,馬0003_11,4,騸,481,-2,騎手16,調教師45,61.1,8,6,121.6,0
3,2021-01-09,中山,1000,芝,不良,12,馬0003_12,5,牝,483,4,騎手17,調教師38,31.5,6,7,121.6,0
3,2021-01-09,中山,1000,芝,不良,13,馬0003_13,7,牡,475,1,騎手26,調教師36,49.6,7,9,122.4,0
3,2021-01-09,中山,1000,芝,不良,14,馬0003_14,3,牡,477,4,騎手24,調教師07,340.5,13,13,123.5,0
4,2021-12-08,小倉,2500,ダート,稍重,1,馬0004_01,5,牝,472,1,騎手08,調教師19,9.1,5,4,210.9,450
4,2021-12-08,小倉,2500,ダート,稍重,2,馬0004_02,3,牝,451,0,騎手26,調教師42,5.8,4,2,210.4,1200
4,2021-12-08,小倉,2500,ダート,稍重,3,馬0004_03,6,牝,515,0,騎手13,調教師41,22.7,8,12,213.3,0
4,2021-12-08,小倉,2500,ダート,稍重,4,馬0004_04,7,牝,460,2,騎手12,調教師26,33.2,10,10,212.7,0
4,2021-12-08,小倉,2500,ダート,稍重,5,馬0004_05,5,牡,495,3,騎手25,調教師12,4.0,2,5,211.1,300
4,2021-12-08,小倉,2500,ダート,稍重,6,馬0004_06,6,牡,491,-1,騎手27,調教師08,17.2,6,8,211.9,0
4,2021-12-08,小倉,2500,ダート,稍重,7,馬0004_07,2,牝,471,-11,騎手10,調教師28,277.5,13,14,214.1,0
4,2021-12-08,小倉,2500,ダート,稍重,8,馬0004_08,4,牡,462,-9,騎手05,調教師11,999.9,15,15,214.3,0
4,2021-12-08,小倉,2500,ダート,稍重,9,馬0004_09,4,騸,540,2,騎手14,調教師17,36.1,11,9,212.2,0
4,2021-12-08,小倉,2500,ダート,稍重,10,馬0004_10,6,牝,472,0,騎手19,調教師24,19.4,7,6,211.3,0
